episode,timestep,reward
1671,255360,135.0054
1673,255840,152.6702
1675,256320,153.7299
1677,256800,144.256
1680,257280,90.6558
1682,257760,112.3409
1684,258240,118.5536
1687,258720,105.733
1689,259200,98.2308
1691,259680,156.692
1694,260160,109.2312
1696,260640,125.4995
1698,261120,156.6317
1700,261600,133.1747
1702,262080,147.8329
1704,262560,133.0415
1706,263040,144.4205
1708,263520,151.2264
1710,264000,119.4424
1712,264480,156.6405
1714,264960,142.2056
1716,265440,160.5809
1718,265920,146.6566
1721,266400,108.871
1723,266880,87.1668
1725,267360,157.6258
1727,267840,129.8949
1729,268320,154.6516
1731,268800,136.5228
1733,269280,136.5918
1736,269760,111.9418
1738,270240,105.0426
1741,270720,109.2136
1743,271200,132.4279
1745,271680,98.7169
1748,272160,94.5376
1750,272640,92.143
1752,273120,112.0777
1754,273600,147.1698
1756,274080,157.0634
1758,274560,145.9807
1760,275040,143.2491
1764,275520,67.3614
1767,276000,96.0996
1769,276480,117.0364
1774,276960,35.221
1776,277440,156.5772
1778,277920,89.3054
1781,278400,82.9672
1784,278880,88.2396
1786,279360,101.54
1788,279840,95.0952
1790,280320,121.9941
1792,280800,152.0628
1794,281280,120.0337
1796,281760,163.772
1798,282240,77.03
1800,282720,121.1502
1803,283200,103.0267
1806,283680,52.0712
1808,284160,145.6665
1810,284640,133.0581
1812,285120,151.8652
1814,285600,117.8377
1816,286080,143.5459
1818,286560,113.758
1821,287040,111.751
1823,287520,141.9232
1825,288000,153.8289
1827,288480,145.0139
1829,288960,105.6639
1831,289440,134.7433
1833,289920,157.6071
1835,290400,150.8536
1838,290880,123.912
1840,291360,161.3847
1842,291840,147.4411
1844,292320,147.7769
1846,292800,120.8948
1848,293280,127.0024
1851,293760,107.2515
1853,294240,159.9115
1856,294720,122.859
1858,295200,96.0057
1860,295680,158.4683
1862,296160,123.0427
1864,296640,159.4971
1866,297120,170.0361
1869,297600,70.2998
1871,298080,147.5002
1873,298560,159.4571
1875,299040,140.0871
1877,299520,165.4671
1879,300000,122.2974
1881,300480,151.1913
1883,300960,139.8851
1886,301440,114.6655
1888,301920,165.4571
1890,302400,156.0418
1892,302880,162.2396
1894,303360,172.895
1896,303840,159.0464
1898,304320,163.1902
1900,304800,123.9785
1902,305280,148.8127
1904,305760,169.9032
1906,306240,160.7324
1908,306720,120.8534
1910,307200,151.0835
1912,307680,157.7319
1914,308160,143.8568
1916,308640,146.8548
1918,309120,163.9484
1921,309600,109.4391
1923,310080,161.5715
1925,310560,127.1263
1927,311040,155.2
1929,311520,138.4943
1931,312000,99.7624
1933,312480,163.6556
1936,312960,119.3719
1938,313440,172.3276
1940,313920,150.0471
1942,314400,167.2204
1944,314880,171.4225
1946,315360,154.1939
1948,315840,177.3505
1950,316320,168.6226
1952,316800,159.9415
1954,317280,164.2073
1956,317760,177.5152
1958,318240,173.6993
1960,318720,137.8058
1962,319200,170.7667
1964,319680,166.3397
1966,320160,175.2602
1968,320640,171.1179
1970,321120,138.4062
1972,321600,177.307
1974,322080,168.4845
1976,322560,167.8011
1978,323040,175.7993
1980,323520,163.6435
1982,324000,173.6503
1984,324480,170.7179
1986,324960,168.504
1988,325440,170.0031
1990,325920,165.7572
1992,326400,167.1506
1994,326880,168.9685
1996,327360,137.589
1998,327840,163.0823
2000,328320,160.8121
2002,328800,153.1545
2004,329280,149.3817
2006,329760,114.8706
2009,330240,127.9153
2012,330720,112.1452
2014,331200,157.3843
2016,331680,162.905
2018,332160,161.8863
2020,332640,167.5427
2022,333120,133.1675
2024,333600,143.2107
2027,334080,121.5803
2029,334560,161.2751
2031,335040,153.762
2033,335520,166.9513
2035,336000,158.4231
2037,336480,138.224
2039,336960,159.8526
2041,337440,153.7903
2043,337920,163.739
2045,338400,156.9617
2047,338880,160.951
2049,339360,171.8363
2051,339840,158.8057
2053,340320,173.7064
2055,340800,162.3216
2057,341280,112.1156
2060,341760,131.098
2062,342240,100.3882
2064,342720,169.1322
