Training with 0, 1, 1 position
episode,timestep,reward
2167,396600,314.2929
2169,397200,318.4417
2171,397800,318.618
2173,398400,311.2747
2175,399000,293.7197
2177,399600,318.8566
2179,400200,317.6387
2181,400800,294.4543
2183,401400,288.3965
2185,402000,290.0791
2187,402600,308.32
2189,403200,285.8295
2191,403800,296.9163
2194,404400,277.7004
2199,405000,71.0374
2201,405600,247.7663
2203,406200,284.2179
2207,406800,172.3304
2209,407400,282.1689
2211,408000,227.0282
2216,408600,164.401
2218,409200,296.3538
2221,409800,163.4006
2223,410400,303.2156
2225,411000,314.9502
2227,411600,194.6457
2230,412200,259.8977
2232,412800,322.7235
2234,413400,309.5215
2236,414000,250.0006
2238,414600,296.9474
2240,415200,291.0163
2243,415800,151.2335
2245,416400,311.7451
2247,417000,309.9756
2249,417600,302.696
2251,418200,288.3475
2253,418800,312.2067
2255,419400,198.098
2258,420000,275.7186
2260,420600,307.4151
2262,421200,294.3324
2264,421800,309.3134
2266,422400,196.0875
2269,423000,274.8945
2272,423600,195.786
2274,424200,293.1652
2277,424800,156.7104
2279,425400,313.9334
2281,426000,298.3476
2284,426600,158.2885
2286,427200,301.9201
2288,427800,288.6379
2290,428400,307.6898
2292,429000,193.5197
2294,429600,292.5349
2296,430200,303.6426
2299,430800,257.6953
2301,431400,234.0732
2304,432000,232.344
2306,432600,297.9238
2308,433200,281.0934
2310,433800,287.6443
2312,434400,307.1465
2314,435000,187.2704
2317,435600,214.4599
2319,436200,301.9534
2321,436800,247.3805
2323,437400,255.5492
2326,438000,209.4026
2328,438600,243.7627
2330,439200,308.7243
2333,439800,217.2614
2335,440400,317.935
2337,441000,247.2242
2339,441600,297.2434
2341,442200,316.5028
2343,442800,309.1159
2345,443400,309.0663
2349,444000,206.7099
2351,444600,205.3608
2353,445200,310.559
2355,445800,311.3278
2358,446400,273.2533
2360,447000,192.7887
2362,447600,305.754
2364,448200,307.2012
2367,448800,242.5513
2369,449400,306.686
2371,450000,316.7085
2374,450600,226.6864
2376,451200,320.8075
2378,451800,302.9212
2380,452400,320.2794
2382,453000,217.3137
2384,453600,307.1181
2387,454200,231.0256
2389,454800,271.7911
